	table_id	hypothesis	label	strategies	table_rows
52	T1600B	K?roly Zipernowsky was the top of his class at the Technical University of Budapest.	C	100000.0	['Education']
53	T1600B	K?roly Zipernowsky's has sung many songs in English.	N	10.0	['Occupation']
54	T1713A	John Cho graduated from UC Berkley in the 1990s with a PhD.	N	1000.0	['Alma mater']
55	T1713A	John Cho has been acting for just under two and a half decades.	E	10000.0	['Years active']
56	T1713A	John Cho has been active since he was in his 20s.	E	10000.0	['Years active', 'Born']
57	T1713A	John Cho has been married for over ten years.	C	100000.0	['Spouse(s)']
58	T1713A	John Cho is married to Jose Machado Ventura  with two daughters.	N	1000.0	['Spouse(s)']
59	T1713A	John Cho was born in the 19th century.	C	10000.0	['Born']
60	T1713A	John Cho was born in the winter of 1972.	C	10000.0	['Born']
61	T1713A	John Cho went to college before he began his career.	N	10000.0	['Alma mater']
62	T1713A	The parent of both of singer-songwriter John Cho's kids is Jose Machado Ventura.	N	1000.0	['Occupation', 'Spouse(s)']
63	T1713B	John Cho graduated from UC Berkley in the 1990s.	C	100000.0	['Alma mater']
64	T1713B	John Cho has a different Korean name.	E	10.0	['Born']
65	T1713B	John Cho has acted in many films.	N	10.0	['Occupation']
66	T1713B	John Cho is a married man.	E	100.0	['Spouse(s)']
67	T1713B	John Cho began his career while in college.	E	100.0	['Alma mater', 'Years active']
68	T1713B	John Cho still acts.	C	100.0	['Years active']
69	T1713B	John Cho was been active in his teens.	E	100000.0	['Born', 'Years active']
70	T1713B	John Cho was born in the winter of 1992.	C	10000.0	['Born']
71	T1713B	John Cho has one child with his wife whom he married in 2006.	N	1000.0	['Children', 'Spouse(s)']
72	T370A	Everclear are from Great Britain.	E	100.0	['Origin']
73	T370A	Everclear disbanded and reunited once.	C	1.0	['Years active']
74	T370A	Everclear has been active for more than a quarter of a century.	C	100000.0	['Years active']
75	T370A	Everclear is a music band.	N	10.0	[]
76	T370A	Everclear is an American band.	C	100000.0	['Origin']
77	T370A	Everclear performed pop music for over ten years.	E	10000.0	['Years active', 'Genres']
78	T370A	Everclear's music can only be categorized into a single genre.	E	100000.0	['Genres']
79	T370A	Everclear, the pop artist, were signed to RCA records throughout the 1930's.	N	1000.0	['Genres', 'Years active', 'Labels']
80	T370A	The Big Machine record label which has signed artist Everclear is located in Sheffield, South Yorkshire, England.	N	1000.0	['Labels', 'Origin']
81	T370B	Everclear are from the northwestern Europe.	E	100.0	['Origin']
82	T370B	Everclear disbanded and reunited multiple times.	C	1.0	['Years active']
83	T370B	Everclear has been active for more than a quarter of a century.	C	100000.0	['Years active']
84	T370B	Everclear have been performing rock music for over seven years.	N	10000.0	['Years active', 'Genres']
85	T370B	Everclear is made up of multiple members.	N	100.0	[]
86	T370B	Everclear originated from a Nordic country.	E	100.0	['Origin']
87	T370B	Everclear were signed to Capitol records throughout the 1990's.	C	100000.0	['Years active', 'Labels']
88	T370B	Everclear's music covers multiple greatly varying genres.	E	10000.0	['Genres']
89	T370B	The Cleopatra record label  which has signed artist Everclear is located in Sweden.	N	0.0	['Labels', 'Origin']
90	T370C	Everclear's music is working with many lables and produce music in more than one genres.	E	1000.0	['Labels', 'Genres']
91	T370C	Everclear is an rock band producing pop and rock music under RCA.	C	1000.0	['Genres', 'Labels']
92	T370C	Everclear have been performing grunge music and also power pop for years now,	E	100.0	['Genres', 'Years active']
93	T370C	Everclear  has been active for more than a quarter of a century but only for live concerts and have no online platform for their music.	C	100.0	['Years active']
94	T370C	Everclear is ongoing even now from there start in 90s producing various types of music.	E	100.0	['Years active', 'Genres']
95	T370C	Everclear are from the Pacific Southwest region of the United States but performed all over States.	C	100.0	['Origin']
96	T370C	The Cleopatra record label is working with Everclear's music from their beginning.	N	10.0	['Labels']
97	T370C	Everclear is made up of four members each from portland oregano .	N	100.0	[]
98	T370C	Everclear were signed to Capitol records throughout the 1990's for all types of music they produce.	N	100.0	[]
99	T1444A	Kasabian has been performing for over 50 years.	C	10000.0	['Years active']
100	T1444A	Kasabian has only worked with smaller independent labels.	N	100000.0	['Labels']
101	T1444A	Kasabian is a band from the UK.	E	10000.0	['Origin']
102	T1444A	Kasabian is an English rock band.	C	100000.0	['Genres', 'Origin']
103	T1444A	Kasabian is known for playing jazz music.	C	1.0	['Genres']
104	T1444A	Kasabian performas in a wide variety of genres.	E	10.0	['Genres']
105	T1444A	Kasabian was first signed to RCA.	C	100000.0	['Labels']
106	T1444A	Kasabian has recorded an album with Oasis and has collaborated with multiple musicians.	N	1000.0	['Associated acts']
107	T1444A	Kasabian was active in the '60s.	E	10.0	['Years active']
108	T20A	Flatbush Zombies are named, in part, after the city they are from.	C	100000.0	['Origin']
109	T20A	Flatbush Zombies are signed to RCA records.	E	100000.0	['Associated acts']
110	T20A	Flatbush Zombies have been active as a band for over 10 years.	E	100000.0	['Years active']
111	T20A	Flatbush Zombies have made music for over forty years now.	C	10000.0	['Years active']
112	T20A	Flatbush Zombies have worked with rappers outside of New York which all are available on europetheband .com.	N	1000.0	['Website']
113	T20A	Flatbush Zombies preferred making K-pop and pop music with Impact Music over Wink	N	1000.0	['Genres', 'Labels']
114	T20A	The rappers Flatbush Zombies are known for performing with rock bands.	E	100000.0	['Associated acts']
115	T20A	The rappers Flatbush Zombies got their start on the east coast.	C	100000.0	['Origin']
116	T20A	The rappers Flatbush Zombies have been signed by a big label and had associated acts with many popular bands like Queen.	N	1000.0	['Associated acts', 'Labels']
117	T20B	Flatbush Zombies are signed to RecordsWarner.	E	10000.0	['Labels']
118	T20B	Flatbush Zombies have been active as a band currently.	E	10000.0	['Years active']
119	T20B	Flatbush Zombies have made music for over two decades  now.	C	10000.0	['Years active']
120	T20B	Flatbush Zombies have worked with rappers and bands outside of New York.	N	100.0	['Associated acts']
121	T20B	Flatbush Zombies name is not related to  the city they are from.	C	10000.0	['Origin']
122	T20B	The rappers Flatbush Zombies are known for performing with hip hop artists.	E	10000.0	['Associated acts']
123	T20B	The rappers Flatbush Zombies got their start on the west coast.	C	10000.0	['Origin']
124	T20B	The rappers Flatbush Zombies have performed with many popular bands and artists from beginning of their career .	N	100.0	['Associated acts']
125	T20B	Flatbush Zombies preferred making death metal music over hip hop music.	N	100.0	['Genres']
126	T20C	The rappers Flatbush Zombies got their start on the east coast of Americas.	C	100.0	['Origin']
127	T20C	The rappers Flatbush Zombies produces psychedelic hip hop and pop music .	E	10.0	['Genres']
128	T20C	Flatbush Zombies have made music for over thirty years now after getting active in 90s.	C	1000.0	['Years active']
129	T20C	Flatbush Zombies website http://www.hpnotiq.com/ is active for their music.	E	10.0	['Website']
130	T20C	Flatbush Zombies are signed to RCA records even after being originated in Australia.	E	100.0	['Origin', 'Labels']
131	T20C	Flatbush Zombies's website are named, in part, after the city they are from containing pop music.	C	100.0	['Website', 'Origin', 'Genres']
132	T20C	The rappers Flatbush Zombies have been maintaining all their music on their website for last 5 years.	N	10.0	['Website']
133	T20C	Flatbush Zombies preferred making music with using auto tune and digital ways instead of just manual recording.	N	10.0	[]
134	T20C	Flatbush Zombies have staged concerts in many places outside their origin country.	N	10.0	[]
135	T680A	CKY is an American rock band that still performs to this day.	C	100000.0	['Years active']
136	T680A	Camp Kill Yourself has been on more labels than they have associated acts.	E	100000.0	['Associated acts', 'Labels']
137	T680A	Camp Kill Yourself has been signed to Universal and Paramount.	E	100000.0	['Labels']
138	T680A	Camp Kill Yourself is from West Chester, Pennsylvania.	C	100000.0	['Origin']
139	T680A	Camp Kill Yourself is grunge rock band that's been active for over 30 years in the music industry.	C	100000.0	['Genres', 'Years active']
140	T680A	Camp Kill Yourself has been on the Entertainment One label since 1998 and done more than 10 associated acts with Exo since then.	N	100.0	['Associated acts']
141	T680A	CKY has worked with many labels starting 1997 throughout its career.	E	100.0	['Labels', 'Years active']
142	T680A	CKY has won many awards for its music and won Grammy awards for best playlist in 2010.	N	100.0	[]
143	T680A	Camp Kill Yourself is sometimes known as Code Orange Kids so as to not offend some critics and listeners of their music and attract childrens.	N	100.0	['Also known as']
144	T680B	Camp Kill Yourself has been on way more associated acts than they have labels.	E	10000.0	['Associated acts', 'Labels']
145	T680B	Camp Kill Yourself origined at Pennsylvania with name Clayton Wilbury then, has been on the Entertainment One label since 1998.	N	1000.0	['Also known as', 'Years active', 'Labels', 'Origin']
146	T680B	Camp Kill Yourself is a rock band from Britain.	C	10000.0	['Genres', 'Origin']
147	T680B	CKY has worked with only a many labels throughout its career.	E	10000.0	['Labels']
148	T680B	CKY has won many awards for its music starting at 1998 as best new band the year is started.	N	1000.0	['Years active']
149	T680B	CKY is an American rock band that stopped performing five years back.	C	10000.0	['Years active']
150	T680B	Camp Kill Yourself has been signed to many labels, Roc Nation ,Entertainment One and Long Branch being few of them	E	10000.0	['Labels']
151	T680B	Camp Kill Yourself mostly produces Hard rock music, and has also started experimenting with Indie folk and skate punk few years back seeing craze for this genre.	N	10.0	['Genres']
152	T680B	Camp Kill Yourself is  rock band and also produces hip hop music.	C	10000.0	['Genres']
153	T1819A	Hugo has a running time of 126 minutes.	C	100000.0	['Running time']
154	T1819A	Hugo is a multi-national film starring well-known Hollywood actors.	C	100000.0	['Country', 'Starring']
155	T1819A	Hugo is an german movie.	N	100.0	[]
156	T1819A	Hugo is based on The Invention of Hugo Cabret	C	100000.0	['Based on']
157	T1819A	Hugo produced by Kevin Feige was the largest box office grossing film in November 2011.	N	1000.0	['Produced by']
158	T1819A	Hugo was a big flop	E	100000.0	['Box office', 'Budget']
159	T1819A	Hugo was criticised a lot by critics and fans alike.	N	100.0	[]
160	T1819A	Hugo was originally in French.	E	100000.0	['Language']
161	T1819A	Hugo stars a largely unknown cast who debut with this movie.	E	100000.0	['Starring']
162	T1819B	Hugo has a running time of 146 minutes.	C	10000.0	['Running time']
163	T1819B	Hugo is a multi-national film starring only Daniel Lee.	C	10000.0	['Country', 'Starring']
164	T1819B	Hugo is an english movie originally made in Irish .	N	1000.0	['Language']
165	T1819B	Hugo is based on  Three Musketeers	C	10000.0	['Based on']
166	T1819B	Hugo starring Raul Castro has won praise from critics and fans alike.	N	1000.0	['Starring']
167	T1819B	Hugo stars a many known cast.	E	10000.0	['Starring']
168	T1819B	Hugo was a big hit	C	10000.0	['Box office', 'Budget']
169	T1819B	Hugo was not the largest box office grossing film in 1978.	N	1000.0	['Release date']
170	T1819B	Hugo was originally in Irish.	E	10000.0	['Language']
171	T544A	Despicable Me 3 first made its box offie run starring in the summer of 2016.	E	100000.0	['Release date']
172	T544A	Despicable Me 3 has the same cast as the first two movies of the same title and also all of them were directed by same person Kyle Balda.	N	1000.0	['Directed by']
173	T544A	Despicable Me 3 is a Hollywood movie.	C	100000.0	['Country']
174	T544A	Despicable Me 3 is actually the 4th movie of the Despicable Me franchise, despite the 3 in the title; released in 2016 summer.	N	1000.0	['Release date']
175	T544A	Despicable Me 3 is an animated movie distributed by Universal Pictures in 2017.	C	100000.0	['Distributed by', 'Release date']
176	T544A	Despicable Me 3 is an animated movie starring Steve Carell and Tare Ase .	N	1000.0	['Starring']
177	T544A	Despicable Me 3 was a box office disappointment.	E	100000.0	['Box office', 'Budget']
178	T544A	Despicable Me 3 was not a box office success compared to it's original budget.	E	100000.0	['Box office', 'Budget']
179	T544A	Despicable Me 3 was shown at Annecy two weeks before it's nationwide release.	C	100000.0	['Release date']
180	T544B	Despicable Me 3 first made its box offie run starring in the summer of 2017.	E	10000.0	['Release date']
181	T544B	Despicable Me 3 is a Bollywood movie.	C	10000.0	['Country']
182	T544B	Despicable Me 3 is actually the 4th movie of the Despicable Me franchise, with first movie named Minions.	N	100.0	[]
183	T544B	Despicable Me 3 is an about 2hours long anime movie .	N	100.0	['Running time']
184	T544B	Despicable Me 3 is an animated movie distributed by Universal Pictures released during Christmas.	C	10000.0	['Release date']
185	T544B	Despicable Me 3 was a huge box office success compared to it's original budget.	E	10000.0	['Box office', 'Budget']
186	T544B	Despicable Me 3 was a huge box office success.	E	10000.0	['Budget', 'Box office']
187	T544B	Despicable Me 3 was shown at Annecy one month before it's nationwide release.	C	0.0	['Release date']
188	T544B	Despicable Me 3 ws written by same author as for first two movies of this franchise.	N	100.0	[]
189	T544C	Despicable Me 3 directed by Steven Spielberg was shown at Annecy three weeks before it's international release.	C	1000.0	['Directed by', 'Release date']
190	T544C	Despicable Me 3 first made its box offie run starring in the summer of 2017 and is to 90 mins long.	E	100.0	['Release date', 'Running time']
191	T544C	Despicable Me 3 has same budget as it's other two parts but earned almost twice of them.	N	10.0	[]
192	T544C	Despicable Me 3 is a Hollywood movie produced under DC comics and Liberty Films under direction of  Pierre Coffin and Kyle Balda.	C	1000.0	['Directed by', 'Production company']
193	T544C	Despicable Me 3 is actually based on the 4th book of Despicable Me series not 3rd one.	N	10.0	[]
194	T544C	Despicable Me 3 is an animated movie starring Steve Carell, Kurt Russell and also Teyonah Parris; and was released in 2017.	C	1000.0	['Release date', 'Starring']
195	T544C	Despicable Me 3 was  one of the biggest box office success of 2017 even being only 90 minutes long.	E	100.0	['Release date', 'Box office', 'Budget', 'Running time']
196	T544C	Despicable Me 3 was distributed by Sony pictures in USA and had a huge box office success.	E	100.0	['Budget', 'Box office', 'Distributed by']
197	T544C	All three movies of the franchise Despicable Me were huge success in Box Office.	N	10.0	[]
198	T928A	Charlie and the Chocolate Factory earned more than triple its budget at the box office.	C	0.0	['Budget', 'Box office']
199	T928A	Charlie and the Chocolate Factory faced severe loss only in the United States.	N	100.0	['Country']
200	T928A	Charlie and the Chocolate Factory is a film adaptation of a novel.	C	100000.0	['Based on']
201	T928A	Charlie and the Chocolate Factory was Roald Dahl's first novel to be turned to a movie.	N	100.0	['Based on']
202	T928A	Charlie and the Chocolate Factory was released in four countries.	E	100000.0	['Release date', 'Country']
203	T928A	Several of the actors in Charlie and the Chocolate Factory debut with this movie.	N	100.0	[]
204	T928A	The narrator and editor of Charlie and the Chocolate Factory have the same first name.	E	100000.0	['Edited by', 'Narrated by']
205	T928A	Tim Burton's film adaptation of Charlie and the Chocolate Factory was a commercial success.	C	100000.0	['Budget', 'Box office']
206	T928A	Tim Burton's film adaptation of Charlie and the Chocolate Factory was not released in the United States until it had already released in United Kingdom.	E	100000.0	['Release date']
207	T928B	Charlie and the Chocolate Factory was Roald Dahl's most popular novel and Raul Castro produced it into a movie under direction of Jon Favreau.	N	1000.0	['Directed by', 'Based on', 'Produced by']
208	T928B	Charlie and the Chocolate Factory was released worldwide.	E	10000.0	['Release date']
209	T928B	Several of the actors nicludin Nicholas Turturro, Graham Greene and  Julia Roberts in Charlie and the Chocolate Factory were from Australia.	N	1000.0	['Starring']
210	T928B	The narrator and editor of Charlie and the Chocolate Factory were different person.	E	10000.0	['Edited by', 'Narrated by']
211	T928B	Tim Burton's film adaptation of Charlie and the Chocolate Factory was not a huge commercial success, it barely made some profit.	C	10000.0	['Box office', 'Budget']
212	T928B	Tim Burton's film adaptation of Charlie and the Chocolate Factory was released earlier in the United States and then in the United Kingdom approximately after  two weeks .	E	10000.0	['Release date']
213	T928B	Charlie and the Chocolate Factory earned the majority of its money in the United States where it was disrtibuted only by Warner Bros. Pictures.	N	1000.0	['Distributed by', 'Country', 'Release date']
214	T928B	Charlie and the Chocolate Factory earned more than ten times its budget at the box office.	C	10000.0	['Box office', 'Budget']
215	T928B	Charlie and the Chocolate Factory is a film adaptation of a short story.	C	10000.0	['Based on']
216	T14A	Flatliners is pretty close to two hours long.	C	0.0	['Running time']
217	T14A	Flatliners made 50 million over it's budget at the box office.	E	100000.0	['Box office', 'Budget']
218	T14A	Flatliners made over double what it cost to make at the box office.	C	100000.0	['Box office', 'Budget']
219	T14A	Flatliners was Peter Filardi's first writing credit starring Kiefer Sutherland and Jennifer Garner.	N	1000.0	['Starring']
220	T14A	Flatliners was a film that has less than 50 million budget.	C	100.0	['Budget']
221	T14A	Flatliners was a movie that was over two hours long.	E	100000.0	['Running time']
222	T14A	Flatliners was mostly produced by Michael Douglas with Kiefer Sutherland being most paid actor .	N	1000.0	['Produced by', 'Starring']
223	T14A	Flatliners was released in the winter of 1990.	E	100000.0	['Release date']
224	T14A	Rick Bieber put more money into Flatliners directed by Empress Teimei, than Michael Douglas did.	N	1000.0	['Directed by', 'Produced by']
225	T14B	Flatliners is pretty close to three hours long.	C	10000.0	['Running time']
226	T14B	Flatliners made 5 million over it's budget at the box office.	E	10000.0	['Budget', 'Box office']
227	T14B	Flatliners made over triple what it cost to make at the box office.	C	10000.0	['Budget', 'Box office']
228	T14B	Flatliners was a film that was not able to net money at the box office.	C	10000.0	['Box office']
229	T14B	Flatliners was a movie that was less than two hours long.	E	10000.0	['Running time']
230	T14B	Flatliners was first movie produced under Stonebridge Entertainment.	N	100.0	['Production Company']
231	T14B	Flatliners was mostly editing by Robert Brown.	N	100.0	['Edited by']
232	T14B	Flatliners was released in the summer of 1993.	E	10000.0	['Release date']
233	T14B	Rick Bieber put equal money, covering half of the budget into Flatliners than Basil Iwanyk did to .	N	100.0	['Produced by']
234	T14C	Flatliners brilliantly written by Bruce Shand made around ten times  what it cost to make at the box office.	C	100.0	['Written by', 'Budget', 'Box office']
235	T14C	Flatliners costed around $25 million in making and was a hit	E	10.0	['Box office', 'Budget']
236	T14C	Flatliners was a hollywood movie that was less than two hours long.	E	100.0	['Country', 'Running time']
237	T14C	Flatliners was directed by Joel Schumacher and was released in English .	E	100.0	['Directed by', 'Language']
238	T14C	Flatliners was edited and directed by Joel Schumacher and was mostly produced by Masahito Yoshioka.	C	10.0	['Directed by', 'Edited by', 'Produced by']
239	T14C	Flatliners was first movie produced by EMI Flims starring Kiefer Sutherland .	C	10.0	['Production Company', 'Starring']
240	T14C	Viggo Mortensen has more screen time in movie than Josh Lucas.	N	10.0	['Starring']
241	T14C	Flatliners was distibuted by Umbrella Entertainment over most of the United State and by Columbia Pictures in other regions.	N	10.0	['Distributed by']
242	T14C	Flatliners was first movie directed by Joel Schumacher under EMI flims.	N	10.0	['Directed by', 'Production Company']
243	T447A	China's constitution came before the People's Republic was proclaimed.	E	100000.0	"['Current constitution ', ""Proclamation of the People's Republic ""]"
244	T447A	People's Republic of China was declared ahead of the Proclamation.	C	100000.0	"[""Proclamation of the People's Republic "", ""People's Republic declared ""]"
245	T447A	The People's Republic of China had their current constitution written in the 1980s.	C	100000.0	['Current constitution ']
246	T447A	The Proclamation of the People's Republic preceded the People's Republic declaration.	E	100000.0	"[""People's Republic declared "", ""Proclamation of the People's Republic ""]"
247	T447A	The current constitution has been amended many times since its inception.	N	100.0	[]
248	T447A	The People's Republic of China has had similar foreign policies and never changed it's boundaries since 1949.	N	100.0	[]
249	T447A	China's imperial rulers never lost to any invaders until British Company in 18th Century.	N	10.0	[]
250	T447A	The People's Republic of China had a imperial unification from over 1500 years.	E	100.0	['First imperial unification ', 'Republic established ']
251	T447A	China has had two republic periods followed by a monarchy.	C	0.0	"['Last polity admitted ', ""People's Republic declared "", ""Proclamation of the People's Republic "", 'Republic established ']"
252	T447B	The Proclamation of the People's Republic succeced the People's Republic declaration.	E	10000.0	"[""Proclamation of the People's Republic "", ""People's Republic declared ""]"
253	T447B	The current constitution established on 10 June 1980 has not changed since its inception.	N	1000.0	['Current constitution ']
254	T447B	People's Republic of China was declared after Proclamation.	C	10000.0	"[""People's Republic declared "", ""Proclamation of the People's Republic ""]"
255	T447B	The People's Republic of China has it's constitution established same year as it's last admitted polity .	E	10.0	['Current constitution ', 'Last polity admitted ']
256	T447B	The People's Republic of China has had similar political policies since 1980 when it's constitution was established.	N	1000.0	['Current constitution ']
257	T447B	The People's Republic of China had their current constitution written in the 1950s.	C	10000.0	['Current constitution ']
258	T447B	China's constitution came after the People's Republic was proclaimed.	E	10000.0	"['Current constitution ', ""Proclamation of the People's Republic ""]"
259	T447B	China's People's Republic established in 1912 came because of the failings of the the government in place since 1912.	N	1000.0	['Republic established ']
260	T447B	China has already had two republic periods before 1920s.	C	10000.0	"[""People's Republic declared "", ""Proclamation of the People's Republic "", 'Republic established ']"
261	T947A	Confucians make up the smallest religious group in Botswana.	E	10000.0	['Religion']
262	T947A	English is the only language in Havana			
263	T947A	Jair Bolsonaro has been Botswana's president for over a decade with Justice Simien as his vice president.	N	1000.0	['President'
264	T947A	Republic of Botswana			
265	T947A	The Republic of Botswana is a majority Christian country.	C	100000.0	['Religion']
266	T947A	The Republic of Botswana is located north of the equator.	E	100000.0	['Capitaland largest city']
267	T947A	The Republic of Botswana's capital city is Gaborone.	C	100000.0	['Capitaland largest city']
268	T947A	There are more who practice the Muslim religion than the Christian religion in the Republic of Botswana.	E	110000.0	['Religion']
269	T947A	Tswana people are the largest ethnic group in Botswana.	C	100000.0	['Ethnic groups']
270	T947B	Christians make up the smallest religious group in Botswana.	N	100000.0	['Religion']
271	T947B	English and Setswana are the only languages in Gaborone			
272	T947B	Mokgweetsi Masisi has been Botswana's president with Tadomori Oshima as his vice president for one term.	N	100.0	['Vice-President'
273	T947B	Over one-tenth of the people in Botswana follow more than one religion	E	10.0	['Religion']
274	T947B	Republic of Botswana			
275	T947B	The Republic of Botswana is a majority Christian country.	C	100000.0	['Religion']
276	T947B	The Republic of Botswana is located south of the equator.	E	10000.0	['Capitaland largest city']
277	T947B	The Republic of Botswana's largest city is Gaborone.	E	100.0	['Capitaland largest city']
278	T947B	Tswana people are the largest ethnic group in Botswana.	C	100000.0	['Ethnic groups']
279	T947C	Over 20% of the people in Botswana follow more than one religon.	C	10.0	['Religion']
280	T947C	The Republic of Botswana is located in the West.	E	100.0	['Capitaland largest city']
281	T947C	There are thousands of ethnic groups in Botswana.	C	100.0	['Ethnic groups']
282	T947C	Botswana has multiple vice presidents.	E	10.0	['Vice-President']
283	T947C	Christians make up the largest religious group in Botswana.	E	10000.0	['Religion']
284	T947C	Republic of Botswana has a monarch.	E	100.0	['Government']
285	T947C	The Republic of Botswana's current president is a Muslim	N	0.0	['President']
286	T947C	The Republic of Botswana's economic capital city is also its largest city.	N	10.0	['Capitaland largest city']
287	T947C	Havana has two official languages.	N	100.0	['Capitaland largest city'
288	T899A	Chengdu have one of it's part at sea level.	E	100.0	['Lowest elevation']
289	T899A	Chengdu is a provincial city that sits around 1,600 feet in the air.	C	100000.0	['Elevation']
290	T899A	Chengdu is the capital city of the Sichuan province with very small metro region compared to it's urban region.	N	1000.0	['Metro', 'Urban (2018)']
291	T899A	Chengdu's biggest area is nearly 10x bigger than its smallest area and has elevation less than 650 m.	N	1000.0	['Highest elevation']
292	T899A	Chengdu's downtown and Urban areas is larger than the Metro area.	E	100000.0	['Downtown', 'Metro', 'Urban (2018)']
293	T899A	Chengdu's downtown area covering more than 450 km2 contains the lowest elevation.	N	1000.0	['Downtown']
294	T899A	Chengdu's highest elevation is over 5,000 meters.	C	100000.0	['Highest elevation']
